"","ID","U.1","U.2","U.3","U.4","R.1","R.2","R.3","R.4","logFC","logCPM","PValue","FDR"
"1","PmetTSAr1.1-014660",34.2976326146178,219.554992357814,101.919833948016,113.59864665979,0.843890095655789,0.40386395467677,0.747527004276853,2.21133177515991,-6.80526131138733,5.88838772170112,7.59885980054398e-24,1.31391884811206e-19
"2","PmetTSAr1.1-004004",13.4302882279639,63.7771699112163,63.7174009980039,31.7407983314118,7.13689909468896,1.73972165091532,4.13107028679313,3.10362354408409,-3.4174750400316,4.56386381324269,7.28207712897533e-11,6.29571978185562e-07
"3","PmetTSAr1.1-005040",40.2363807559893,24.624220454365,44.8402457133205,42.7870052695186,12.248461959804,5.31236432690212,10.0325992679262,9.42725651515542,-2.04174146090079,4.57049365436541,4.60492367201916e-09,2.65412450709611e-05
"4","PmetTSAr1.1-005195",13.0216587686953,8.95426198340545,14.8160462100853,12.8531481965008,4.02656131355762,1.80185456701943,3.46223033559806,2.32771765806307,-2.09201927671585,2.95030712978263,6.18810918043435e-09,2.67496489597226e-05
"5","PmetTSAr1.1-018514",7.92741150981238,8.82258166012008,6.27371332903423,14.1827842168285,16.2509121277715,94.3488331041038,60.9037790852931,41.782531962232,2.51901215601563,4.97123010765401,5.5639068274646e-08,0.000192411025907381
"6","PmetTSAr1.1-006480",40.536042359453,66.1913091714482,101.303665674629,26.0131354746157,10.1507922934596,0.341731038572651,3.97369618062959,2.48289883526727,-3.7832476321121,4.9746150765659,7.88227479614604e-08,0.000227154022500269
"7","PmetTSAr1.1-007238",4.76734369146793,6.75958992864921,4.08911672338838,4.84123884324433,5.52145234014788,61.5115869430772,32.9698752412633,40.23072019019,2.7773582417052,4.33191519930236,1.0264724403102e-07,0.000253553356648624
"8","PmetTSAr1.1-016228",6.72876509595759,10.5783193039251,5.48949916290495,7.90962965938511,8.02901148152508,113.019774393391,48.7072858576181,45.0801319778214,2.8070285942171,4.94247514731404,4.24543695315017e-07,0.000917598129461495
"9","PmetTSAr1.1-016096",3.32351960205193,8.55922101354933,3.10884901572678,3.81844190453074,5.85900837841019,58.6534728022878,29.940423697615,23.2771765806307,2.6482827627854,4.097787830405,1.43693194064952e-06,0.00276066557619676
"10","PmetTSAr1.1-015697",11.6050766432305,20.4982369914233,11.4551283552455,13.4327331284385,14.6595765188206,164.465828927601,78.6083660286922,68.1245367926457,2.51573951459077,5.58231247560072,1.92723384905969e-06,0.00333238004840911
"11","PmetTSAr1.1-008290",16.3179364067959,2.63360646570749,12.7434801996008,22.3310664952468,2.89333747081985,2.48531664416474,2.87207743748475,3.06482824978304,-2.25527084250201,3.04349310986482,3.75061948112157e-06,0.00589563285891573
"12","PmetTSAr1.1-006977",7.00118473547004,61.7580716208406,26.3271898629115,30.8884675491505,2.82100403404935,0.931993741561776,9.04901110440401,4.18989178451352,-2.89144239385005,4.16247558326556,5.14974596200266e-06,0.00684955826376831
"13","PmetTSAr1.1-015387",3.73214906132061,9.0420488655957,3.80904023548507,3.98890806098301,5.03922942834457,64.0901029613981,29.586331958747,24.3634448210601,2.58250250820095,4.17085050240598,5.08065099729394e-06,0.00684955826376831
"14","PmetTSAr1.1-007756",3.75939102527185,4.03819658075148,3.55697139637208,3.68206897936893,7.01634336673813,10.2829976152316,10.8981568518257,14.0826918312816,1.48965807119148,2.85228513151696,6.41657780902416e-06,0.0069343154309898
"15","PmetTSAr1.1-015551",9.69813916664333,22.8245893694649,9.57861588629333,11.8644444890777,11.5492387376892,157.320543575628,78.0182131305789,71.4221368082351,2.56090465848578,5.54188394452966,6.13856993071507e-06,0.0069343154309898
"16","PmetTSAr1.1-016471",7.49154008659246,22.2539746352283,12.2113348725845,8.4210281287419,31.6579341598872,110.814055871695,36.0386703114525,37.2434825290091,2.09983886097166,5.05876361011158,5.68832686994868e-06,0.0069343154309898
"17","PmetTSAr1.1-000038",1365.25826538061,13775.078618883,4918.70328055799,3537.92279747289,719.235472954634,206.778344794506,1115.78241269955,941.135044449199,-2.98379701094306,11.6980610347028,8.28581797490392e-06,0.00810638945374622
"18","PmetTSAr1.1-009293",3.07834192649072,2.37024581913674,3.16486431330744,3.03429758485032,5.28034088424622,9.22673804146158,9.40310284327199,8.45737415762914,1.4681463849257,2.47559195586095,8.49107548714423e-06,0.00810638945374622
"19","PmetTSAr1.1-030971",2.31556693585585,1.66795076161474,1.56842833225856,1.36372925161812,2.45933685019687,5.18809849469389,10.3866910067942,7.52628709440391,1.87693415084643,2.03900223544402,8.90760509057765e-06,0.00810638945374622
